cbb,9923503,9575,159,277
cbc,9871596,9001,17,50
cbd,9571219,8610,191,299
cbe,9948482,9223,40,93
cbf,9833265,8843,22,78
cbg,9937876,7894,114,207
cca,9016988,8987,243,487
ccb,9304132,10115,43,112
ccc,9805326,7867,9,27
ccd,9931754,11104,240,390
cce,9997526,8249,47,88
ccf,9917031,7730,18,63
ccg,9879091,9047,92,205
cda,9753678,8206,7,17
cdb,9940299,10376,51,202
cdc,9512557,9967,46,181
cdd,9975104,8500,295,536
cde,9503309,8776,18,68
cdf,9941147,7229,91,253
cdg,9751914,9212,389,562
cea,9770559,10166,74,213
ceb,9974157,9981,59,91
cec,9476699,9106,69,277
ced,9333190,9373,11,39
cee,9779041,9218,172,273
cef,9536824,9301,12,58
ceg,9917509,9695,48,116
cfa,9914231,9174,422,666
cfb,9879326,8485,201,368
cfc,9970361,9591,59,185
cfd,9487656,9884,215,507
cfe,9762426,8842,65,151
cff,9995192,9113,310,418
cfg,9975098,9683,143,284
cga,9825892,8754,141,294
cgb,9921515,7630,78,109
cgc,9990271,9054,6,16
cgd,9614066,9347,35,71
cge,9650427,9379,138,232
cgf,9734638,10861,31,109
cgg,9823906,8897,344,831
daa,9940747,9711,43,70
dab,9533932,9081,5,9
dac,9988853,8899,13,36
dad,9811386,6788,41,117
dae,9829936,10114,125,210
daf,9553189,6472,249,470
dag,9879851,8590,81,223
dba,9919910,11191,251,449
dbb,9770189,10923,170,302
dbc,9983707,8339,6,19
dbd,9942788,7588,124,219
dbe,9956827,8181,14,66
dbf,9848574,8696,96,154
dbg,9626749,8705,200,425
dca,9826577,8195,210,395
dcb,9990632,7609,203,282
dcc,9894484,9902,30,61
dcd,9956267,9250,78,172
dce,9984392,8075,172,340
dcf,9991141,9926,61,129
dcg,9344631,9266,14,40
dda,9924036,7892,101,160
ddb,9997831,6824,109,187
ddc,9756761,9253,298,453
ddd,9950823,8791,45,81
dde,9855189,6976,46,71
ddf,9873405,7673,127,261
ddg,9722681,8845,135,229
dea,9947383,8398,56,153
deb,9848835,9567,48,170
dec,9896723,8817,152,242
ded,9954609,10378,218,377
dee,9868534,8621,12,42
def,9760820,8936,542,1039
deg,9917012,8461,22,46
dfa,9869793,7245,22,56
dfb,9511106,9518,9,33
dfc,9782255,8241,81,155
dfd,9636834,7894,75,132
dfe,9939693,8909,14,31
dff,9937043,9309,96,296
dfg,9897226,8294,128,221
dga,9942594,8836,93,216
dgb,9850493,9273,72,242
dgc,9934290,9632,144,287
dgd,9689711,9221,448,711
dge,9988327,9746,392,579
dgf,9633396,8872,26,43
dgg,9914785,8048,36,74
eaa,9343931,8823,10,36
eab,9577878,8577,264,517
eac,9291214,8421,164,296
ead,9950571,9413,181,287
eae,9912279,9357,6,15
eaf,9965500,8851,76,147
eag,9918540,9237,107,182
eba,9687541,8853,137,250
ebb,9223245,8467,106,263
ebc,9824415,9873,95,198
ebd,9966003,8494,192,349
ebe,9705553,9047,655,1296
ebf,9849557,9082,174,300
ebg,9770645,8646,70,211
eca,9786563,8089,280,492
ecb,9739644,10450,34,87
ecc,9742342,7888,187,311
ecd,9963665,8862,83,193
ece,9828696,9136,10,30
ecf,9988828,8097,44,101
ecg,9950284,7722,21,55
eda,9950392,8107,75,139
edb,9980809,9081,5,7
edc,9749342,8975,35,110
edd,9884195,9197,39,76
ede,9986250,8123,71,108
edf,9953405,9301,118,219
edg,9953871,9927,163,287
eea,9764345,8524,170,278
eeb,9791427,8793,56,152
eec,9839373,12109,93,219
eed,9944344,6515,76,159
eee,9815963,7238,95,166
eef,9922056,9730,9,33
eeg,9858456,8923,72,136
efa,9886593,10193,320,495
efb,9912607,9780,57,123
efc,9743696,7818,87,179
efd,9848968,12648,49,152
efe,9785749,8810,45,215
eff,9917602,10358,52,151
efg,9749362,8652,65,123
ega,9395609,9518,5,5
egb,9616224,8750,96,146
egc,9982923,8672,91,152
egd,9857529,8645,189,330
ege,9990044,8504,102,240
egf,9742951,8742,324,534
egg,9986865,10240,153,219
faa,9446306,8928,208,348
fab,9572895,9176,104,167
fac,9614646,8205,21,63
fad,9995648,9657,77,165
fae,9877071,8760,449,938
faf,9977358,10742,145,280
fag,9967537,9343,7,19
fba,9918403,7588,5,6
fbb,9993425,7042,11,25
fbc,9688500,9504,355,569
fbd,9831566,9862,247,355
fbe,9742845,8984,109,221
fbf,9508194,10999,204,377
fbg,9928849,9321,92,285
fca,9834053,8950,76,181
fcb,9934511,8144,131,203
fcc,9983399,9267,67,151
fcd,9904332,9989,417,607
fce,9868293,9076,36,135
fcf,9499866,8343,111,180
fcg,9865579,8561,20,59
fda,9976572,10547,22,107
fdb,9864384,8916,95,238
fdc,9932186,9892,291,531
fdd,9954362,9655,103,206
fde,9964807,7603,29,62
fdf,9986016,8966,183,297
fdg,9564240,8761,217,505
fea,9961390,8859,39,82
feb,9782312,8475,114,195
fec,9914373,9006,130,278
fed,9981918,9157,99,240
fee,9842331,8508,38,162
fef,9903166,7942,70,253
feg,9789765,8552,153,311
ffa,9807487,7085,34,54
ffb,9785451,9171,25,80
ffc,9945191,9372,569,989
ffd,9930805,8075,33,120
ffe,9826079,10004,277,483
fff,9931026,7348,247,527
ffg,9868291,7943,132,209
fga,9996585,8615,174,253
fgb,9585031,9754,231,394
fgc,9986941,10550,79,212
fgd,9835921,8499,96,137
fge,9933046,9651,29,110
fgf,9789517,7111,41,76
fgg,9894567,7057,97,252
gaa,9936513,9136,56,191
gab,9900968,9384,55,162
gac,9572257,9530,247,505
gad,9897608,6978,122,244
gae,9999626,9522,170,317
gaf,9872753,10518,144,270
gag,9996604,9239,94,221
gba,9706598,9173,134,238
gbb,9965197,10855,268,428
gbc,9992725,9499,246,452
gbd,9768597,10663,54,107
gbe,9843876,9814,77,127
gbf,9909205,9156,30,117
gbg,9871929,9215,9,25
gca,9867262,10542,44,101
gcb,9757325,12123,38,137
gcc,9970756,8301,103,272
gcd,9821738,9695,32,66
gce,9627279,9430,164,311
gcf,9971814,9841,144,216
gcg,9898259,9280,5,11
gda,9346040,9133,127,331
gdb,9412430,9395,229,324
gdc,9942044,8654,24,58
gdd,9968494,8655,85,207
gde,9973049,9050,25,59
gdf,9504430,9697,88,254
gdg,9857045,8403,73,187
gea,9821948,9305,55,160
geb,9884531,9458,281,608
gec,9826384,9262,8,16
ged,9585690,8419,259,409
gee,9983392,8487,65,149
gef,9912532,7895,46,102
geg,9971150,10478,129,286
gfa,9994609,8967,49,148
gfb,9945824,9412,252,449
gfc,9988829,8542,107,322
gfd,9990089,8623,141,257
gfe,9821024,9408,50,187
gff,9821407,9832,167,272
gfg,9938015,7981,120,173
gga,9762773,9815,89,198
ggb,9887327,9484,73,234
ggc,9992655,7283,5,8
ggd,9991103,8273,103,139
gge,9561547,9366,19,60
ggf,9943637,8722,83,154
ggg,9831709,7964,77,121
